id,title,authors,type,location,date,link,axis
T004,PHASE BEHAVIOR OF MODEL LIVE OIL SYSTEMS WITH HIGH CO2 CONTENT,"Ana Paula P. Simoncelli, Wilfred Goméz, Rafael Charin, Felipe Fleming, Papa Matar, Frederico W. Tavares", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T007,"CORRELATION AND PREDICTION OF SURFACE TENSION IN SINGLE AND MIXED AQUEOUS ELECTROLYTE SOLUTIONS BASED ON THE MEAN IONIC ACTIVITY COEFFICIENT: A COMPARATIVE ANALYSIS OF PITZER, E-NRTL AND E-UNIQUAC MODELS","Igor E. S. Lins, Natan S. Cruz, Gloria M. N. Costa, Silvio A. B. Vieira de Melo", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T008,DETERMINAÇÃO DOS LIMITES DE INFLAMABILIDADE DE HIDROCARBONETOS POR MEIO DO CÁLCULO DO EQUILÍBRIO QUÍMICO,"Jéssica R. Galdini, Luciana Y. A. Silva", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T010,MODELAGEM E SIMULAÇÃO DA PRECIPITAÇÃO DE ASFALTENOS POR INJEÇÃO DE CO2 VIA EQUILÍBRIO SÓLIDO-LÍQUIDO: AVALIAÇÃO DO EFEITO DO NÚMERO DE COMPONENTES DA CARACTERIZAÇÃO DA FRAÇÃO PESADA,"Isaias Evangelista Matos,  Victor B. Regueira,  Gloria M. N. Costa,  Silvio A. B. Vieira de Melo", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T013,INFLUÊNCIA DE MODIFICAÇÕES NA FUNÇÃO ALPHA DE PENG-ROBINSON PARA DETERMINAÇÃO DO PONTO DE ORVALHO DE GASES NATURAIS,"André de Freitas Gonçalves, Andréa Oliveira da Costa", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T019,ANÁLISE COMPARATIVA DOS SIMULADORES SPECS® E WINPROP® PARA O CÁLCULO DA PRESSÃO DE SATURAÇÃO E DA DENSIDADE DA MISTURA DE ÓLEO E CO2 USANDO A EQUAÇÃO SRK,"Monalisa de O. Rios, Ladislane S. Bastos, Verônica J. Pereira, Gloria M.N. Costa, Silvio A. B. Vieira de Melo", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T030,SIMULAÇÃO DE ESCOAMENTOS EM MEIOS POROSOS UTILIZANDO O MÉTODO LATTICE BOLTZMANN,"Lucas G. M. de Moraes, Guilerme M. Lopes, Luís F. M. Franco", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T040,AVALIAÇÃO DE POLÍMEROS NA QUEBRA DE EMULSÕES ÁGUA/ÓLEO DE PETRÓLEOS BRASILEIROS,"Raíssa S. Alves, Dayanne L. H. Maia, Fabiano A. N. Fernandes, Filipe X. Feitosa, Hosiberto B. de SantAna", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T042,EFFECT OF CARBON DIOXIDE IN CRUDE OIL + METHANE MIXTURES AT TEMPERATURE FROM 343.15 TO 383.15 K,"José F. Romero Yanes, Filipe X. Feitosa, Hosiberto B. de SantAna", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T044,EQUILÍBRIO DE FASES DE SISTEMAS CONSTITUÍDOS DE CO2 E HIDROCARBONETOS SATURADOS E AROMÁTICOS,"Lívia B. Meirelles, Arthur, J. O. Braga, Papa M. Ndiaye, Frederico W. Tavares, Erika C. A. N. Chrisman", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T047,EXPERIMENTAL AND THERMODYNAMIC MODELING OF WAX PRECIPITATION FOR RESERVOIR FLUIDS WITH HIGH CO2 CONTENT AT HIGH PRESSURES,"Wilfred A. Gomez,  R. P. Carmo, V. M. Silva, Papa. M. Ndiaye,  F. W. Tavares", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T048,EFEITO DE CONTAMINANTES PROVENIENTES DA PRODUÇÃO DE BIODIESEL SOBRE A ESTABILIDADE TÉRMICA DO GLICEROL,"Daniel Gonçalves, Lilian Bozzi Barbeiro, Eduardo Augusto Caldas Batista, Antonio José de Almeida Meirelles", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
